Player_Name,X1,Y1
Vincent Kompany,216,76
John Stones,78,160
Toby Alderweireld,144,296
Toby Alderweireld,384,292
Danny Rose,90,112
Thomas Meunier,552,300
Harry  Maguire,66,140
Thomas Meunier,408,336
Toby Alderweireld,342,316
Toby Alderweireld,480,348
Thomas Meunier,462,324
Toby Alderweireld,396,308
Harry  Maguire,60,88
Kieran Trippier,270,332
John Stones,174,192
Toby Alderweireld,540,340
Kieran Trippier,396,352
Toby Alderweireld,84,276
Thomas Meunier,204,332
Phil Jones,198,312
Kieran Trippier,234,348
Phil Jones,366,328
Kieran Trippier,438,360
Phil Jones,420,320
Harry  Maguire,414,136
Phil Jones,150,292
John Stones,60,248
John Stones,168,248
Jan Vertonghen,90,120
Jan Vertonghen,198,76
Jan Vertonghen,264,40
Vincent Kompany,204,160
John Stones,198,200
Kieran Trippier,270,332
Phil Jones,180,312
John Stones,144,236
John Stones,288,188
Vincent Kompany,64,132
John Stones,342,156
Phil Jones,384,272
Jan Vertonghen,234,40
Thomas Meunier,210,344
Harry  Maguire,210,76
John Stones,216,156
Harry  Maguire,264,144
John Stones,252,244
Phil Jones,294,352
Kieran Trippier,390,336
John Stones,234,276
John Stones,378,164
Harry  Maguire,324,96
Kieran Trippier,348,312
Kieran Trippier,402,360
Phil Jones,336,312
John Stones,246,236
Harry  Maguire,168,72
Harry  Maguire,84,120
John Stones,144,228
Thomas Vermaelen,138,68
Harry  Maguire,264,176
Kieran Trippier,540,360
Kieran Trippier,444,356
Phil Jones,408,288
Phil Jones,524,336
Jan Vertonghen,54,196
Harry  Maguire,174,128
Kieran Trippier,162,344
Phil Jones,168,284
Kieran Trippier,192,340
Kieran Trippier,438,348
Kieran Trippier,560,40
Vincent Kompany,198,184
Thomas Vermaelen,222,96
Jan Vertonghen,318,44
Vincent Kompany,198,164
Toby Alderweireld,174,344
Toby Alderweireld,234,340
John Stones,72,232
John Stones,180,252
John Stones,186,180
Toby Alderweireld,84,268
Harry  Maguire,390,76
Vincent Kompany,42,164
Harry  Maguire,402,48
Harry  Maguire,384,52
John Stones,312,200
Phil Jones,348,320
Kieran Trippier,390,324
Kieran Trippier,554,324
Kieran Trippier,552,360
John Stones,288,244
John Stones,294,220
Harry  Maguire,66,92
John Stones,96,200
Harry  Maguire,168,92
Thomas Vermaelen,72,120
Jan Vertonghen,66,72
Kieran Trippier,420,324
Phil Jones,144,200
Phil Jones,432,356
Thomas Meunier,348,340
Phil Jones,450,344
Thomas Meunier,426,340
Thomas Vermaelen,102,48
Thomas Vermaelen,162,92
John Stones,318,216
Kieran Trippier,414,356
Thomas Vermaelen,114,64
Kieran Trippier,408,340
John Stones,198,308
Vincent Kompany,168,244
Toby Alderweireld,276,320
Jan Vertonghen,462,76
Phil Jones,156,272
Kieran Trippier,228,360
Phil Jones,186,304
Harry  Maguire,300,84
Toby Alderweireld,162,232
Toby Alderweireld,102,312
Thomas Meunier,438,332
Thomas Meunier,174,336
John Stones,252,320
Toby Alderweireld,144,352
Harry  Maguire,198,208
Thomas Vermaelen,174,48
Harry  Maguire,366,120
Vincent Kompany,180,272
Toby Alderweireld,120,312
Jan Vertonghen,426,68
Kieran Trippier,162,328
Jan Vertonghen,432,40
Jan Vertonghen,342,72
Vincent Kompany,270,180
Toby Alderweireld,330,300
Vincent Kompany,204,284
Thomas Vermaelen,246,132
Jan Vertonghen,234,60
Jan Vertonghen,330,84
Toby Alderweireld,156,340
Toby Alderweireld,204,340
Jan Vertonghen,204,56
Thomas Meunier,222,344
Toby Alderweireld,180,324
Vincent Kompany,192,228
Thomas Meunier,300,344
Toby Alderweireld,186,348
Toby Alderweireld,174,352
Vincent Kompany,126,272
Vincent Kompany,192,276
Toby Alderweireld,210,332
Thomas Meunier,542,292
Kieran Trippier,58,40
Vincent Kompany,552,240
Kieran Trippier,114,332
John Stones,246,312
John Stones,342,308
Thomas Meunier,342,328
Harry  Maguire,180,84
Phil Jones,156,324
Kieran Trippier,240,348
Kieran Trippier,186,360
Phil Jones,108,312
John Stones,150,248
Kieran Trippier,156,356
John Stones,240,300
John Stones,414,260
Harry  Maguire,384,152
Thomas Meunier,66,284
Harry  Maguire,408,96
Kieran Trippier,270,316
Harry  Maguire,462,52
Kieran Trippier,558,328
Thomas Vermaelen,54,248
Thomas Meunier,396,180
Kieran Trippier,396,344
Harry  Maguire,150,104
Thomas Vermaelen,76,80
Kieran Trippier,560,40
Jan Vertonghen,72,136
Harry  Maguire,138,120
Kieran Trippier,258,356
Thomas Vermaelen,76,112
Kieran Trippier,492,344
Phil Jones,408,276
Kieran Trippier,426,360
Toby Alderweireld,114,360
Kieran Trippier,420,356
Phil Jones,396,320
John Stones,402,284
Toby Alderweireld,246,340
Thomas Meunier,414,332
Thomas Meunier,534,332
John Stones,228,192
Kieran Trippier,444,340
Phil Jones,48,320
Harry  Maguire,60,80
John Stones,156,140
Toby Alderweireld,64,196
Thomas Vermaelen,66,212
Harry  Maguire,540,180
Vincent Kompany,168,184
Vincent Kompany,210,184
John Stones,192,140
John Stones,264,188
Vincent Kompany,60,228
Phil Jones,312,320
Phil Jones,408,300
Kieran Trippier,408,292
Toby Alderweireld,48,264
Kieran Trippier,474,344
Thomas Vermaelen,60,72
Kieran Trippier,432,320
Harry  Maguire,528,148
Toby Alderweireld,48,248
Phil Jones,168,356
Jan Vertonghen,396,40
Phil Jones,168,332
Jan Vertonghen,372,64
Toby Alderweireld,192,304
Toby Alderweireld,192,324
Thomas Vermaelen,54,48
Kieran Trippier,468,324
Kieran Trippier,456,332
Jan Vertonghen,138,72
John Stones,108,224
Kieran Trippier,180,360
Thomas Vermaelen,132,140
Kieran Trippier,252,356
Kieran Trippier,414,300
Vincent Kompany,174,292
Vincent Kompany,186,272
Harry  Maguire,402,72
Harry  Maguire,336,164
Kieran Trippier,486,316
Kieran Trippier,432,344
Toby Alderweireld,180,328
Thomas Meunier,222,324
Jan Vertonghen,48,132
Toby Alderweireld,60,252
Harry  Maguire,552,152
Kieran Trippier,390,360
Vincent Kompany,54,140
John Stones,276,348
Harry  Maguire,384,288
Phil Jones,438,264
Kieran Trippier,450,360
Harry  Maguire,354,152
Phil Jones,396,324
Kieran Trippier,450,336
Phil Jones,390,300
Jan Vertonghen,54,124
Thomas Vermaelen,78,132
Vincent Kompany,54,200
Jan Vertonghen,78,48
Phil Jones,78,220
Vincent Kompany,84,164
John Stones,72,268
Jan Vertonghen,66,64
John Stones,192,212
Thomas Meunier,534,288
Kieran Trippier,414,340
Toby Alderweireld,54,344
Phil Jones,186,324
Jan Vertonghen,144,52
Jan Vertonghen,408,44
Jan Vertonghen,330,40
Vincent Kompany,162,272
Thomas Vermaelen,210,136
Harry  Maguire,198,144
John Stones,174,292
Kieran Trippier,168,304
Jan Vertonghen,210,44
Jan Vertonghen,234,64
John Stones,198,212
Harry  Maguire,264,156
John Stones,258,200
Jan Vertonghen,480,64
John Stones,204,288
Kieran Trippier,360,360
Kieran Trippier,324,360
Jan Vertonghen,402,72
Kieran Trippier,348,360
John Stones,348,320
John Stones,372,256
Harry  Maguire,342,184
John Stones,366,280
Kieran Trippier,402,316
Vincent Kompany,174,276
Phil Jones,456,340
Vincent Kompany,156,180
Thomas Vermaelen,126,48
Jan Vertonghen,180,56
Phil Jones,96,360
Kieran Trippier,144,288
Vincent Kompany,132,184
Harry  Maguire,144,148
Harry  Maguire,270,108
Toby Alderweireld,216,316
Thomas Vermaelen,234,72
Toby Alderweireld,348,316
Thomas Meunier,390,336
Toby Alderweireld,378,348
Kieran Trippier,396,324
Thomas Vermaelen,318,124
John Stones,144,52
Toby Alderweireld,306,296
John Stones,156,336
Toby Alderweireld,354,340
Thomas Meunier,444,344
Toby Alderweireld,336,328
Vincent Kompany,180,276
Thomas Vermaelen,186,128
Thomas Vermaelen,198,136
Vincent Kompany,174,228
Toby Alderweireld,204,336
Kieran Trippier,312,332
Kieran Trippier,438,360
Toby Alderweireld,264,352
Vincent Kompany,156,220
Thomas Vermaelen,216,156
Vincent Kompany,156,228
Toby Alderweireld,186,328
Harry  Maguire,366,88
Thomas Meunier,198,360
Toby Alderweireld,114,332
Thomas Vermaelen,150,44
Kieran Trippier,216,360
Phil Jones,174,316
John Stones,168,204
Harry  Maguire,246,136
Phil Jones,270,332
John Stones,372,180
Harry  Maguire,408,92
Harry  Maguire,396,56
Phil Jones,414,288
Kieran Trippier,396,348
Thomas Vermaelen,96,116
Phil Jones,186,308
Kieran Trippier,258,344
Toby Alderweireld,156,340
Kieran Trippier,210,328
Kieran Trippier,138,304
John Stones,192,244
Phil Jones,330,344
Kieran Trippier,246,320
Harry  Maguire,366,128
John Stones,84,256
Phil Jones,198,328
Thomas Meunier,186,340
Kieran Trippier,132,332
Thomas Vermaelen,318,88
Thomas Vermaelen,324,60
Toby Alderweireld,360,332
Vincent Kompany,246,228
Jan Vertonghen,342,76
Jan Vertonghen,348,40
Thomas Vermaelen,204,112
Jan Vertonghen,408,68
Jan Vertonghen,426,40
Harry  Maguire,474,48
Harry  Maguire,480,56
Phil Jones,408,344
Jan Vertonghen,48,104
Toby Alderweireld,552,132
Phil Jones,354,332
Kieran Trippier,264,348
Phil Jones,294,316
Danny Rose,120,52
John Stones,132,256
Thomas Meunier,384,360
Thomas Meunier,444,328
Thomas Vermaelen,60,212
John Stones,180,324
Thomas Vermaelen,132,76
Kieran Trippier,560,360
